state,chain,wage,emp,t
2,1,,40.5,0
2,2,,13.75,0
2,2,,8.5,0
2,4,5,34,0
2,4,5.5,24,0
2,4,5,20.5,0
2,1,5,70.5,0
2,1,5,23.5,0
2,2,5.25,11,0
2,2,5,9,0
2,3,5,15.5,0
2,1,5,58,0
2,1,5,26.5,0
2,1,5.5,28.5,0
2,1,5,13.5,0
2,2,5.25,16.75,0
2,2,5,9.5,0
2,3,5,15,0
2,3,5,29.5,0
2,3,5,18.5,0
2,3,5,20.25,0
2,3,5,36,0
2,3,5,21,0
2,3,5,20.5,0
2,4,5,19,0
2,3,5,14,0
2,3,5,19,0
2,1,4.25,32.5,0
2,1,4.25,19,0
2,1,4.25,27,0
2,1,4.25,19.5,0
2,1,4.5,24,0
2,1,4.25,18,0
2,1,4.5,,0
2,1,4.25,19,0
2,2,4.5,14,0
2,2,4.25,10.5,0
2,4,4.67000007629395,38,0
2,4,4.75,23.5,0
2,4,4.25,10.5,0
2,4,4.25,25,0
2,2,4.75,11,0
2,1,4.25,36.5,0
2,1,4.5,52.5,0
2,1,4.25,29,0
2,1,4.25,45,0
2,1,4.25,22.75,0
2,2,4.25,7.5,0
2,4,4.25,15.5,0
2,4,4.25,38,0
2,4,4.25,17.5,0
2,4,4.25,25,0
2,1,4.5,,0
2,1,4.75,21,0
2,1,4.86999988555908,15.5,0
2,1,4.75,15.5,0
2,2,4.5,8.5,0
2,3,4.25,18,0
2,4,4.75,20.75,0
2,1,4.25,39,0
2,1,4.25,41.5,0
2,1,4.75,22.5,0
2,1,4.5,32,0
2,1,4.25,24,0
2,1,4.25,26,0
2,1,4.5,48.5,0
2,2,4.5,8.5,0
2,3,4.5,18.5,0
2,3,4.5,13,0
2,4,4.5,22.5,0
2,4,4.75,28,0
2,1,4.25,24.5,0
2,1,4.75,18.5,0
2,3,4.25,23.5,0
2,3,4.75,15,0
2,3,4.5,18,0
2,3,4.75,20.25,0
2,1,4.25,15.5,0
2,1,4.34999990463257,21,0
1,1,,15,0
1,1,,15,0
1,3,,24,0
1,3,,19.25,0
1,1,,21.5,0
1,2,,9.5,0
1,4,,44,0
1,1,,,0
1,1,,21,0
1,4,,28,0
1,4,,10,0
1,1,,20.5,0
1,3,,25.5,0
1,4,,19,0
1,1,,16.5,0
1,1,,17,0
1,1,,27.5,0
1,3,5,5,0
1,2,5.11999988555908,16,0
1,1,5.55999994277954,41.5,0
1,2,5,13,0
1,2,5,10,0
1,2,5.25,15,0
1,3,5,26,0
1,4,5.5,18,0
1,3,5,35,0
1,3,5,21,0
1,4,5,34.5,0
1,4,5,18.25,0
1,4,5,24.5,0
1,1,5.5,20,0
1,1,5,16,0
1,2,5,17.5,0
1,4,5,20.5,0
1,4,5,20,0
1,2,5,12.25,0
1,3,5.25,33,0
1,3,5.5,31.5,0
1,4,5.5,,0
1,4,5.36999988555908,18,0
1,4,5.05000019073486,28,0
1,1,5,16.5,0
1,1,5.11999988555908,14.75,0
1,1,5.25,23.5,0
1,1,5,10,0
1,1,5.11999988555908,46.5,0
1,2,5,15.5,0
1,3,5,24.5,0
1,3,5,24,0
1,3,5,23,0
1,4,5,28,0
1,1,5,32.5,0
1,1,5,23,0
1,3,5.61999988555908,17,0
1,3,5,30,0
1,4,5,21.5,0
1,1,5,32,0
1,1,5,8,0
1,3,5.09999990463257,35.5,0
1,3,5,31.5,0
1,3,5.25,33,0
1,3,5.5,22,0
1,1,5,23,0
1,1,5,23,0
1,2,5,8.5,0
1,2,5.05000019073486,12.5,0
1,2,5.5,9.5,0
1,2,5,13,0
1,1,5.30000019073486,17,0
1,2,5,9,0
1,2,5,19,0
1,2,5,11.5,0
1,2,5,13,0
1,3,5.25,48,0
1,3,5.15000009536743,45.5,0
1,4,5.42000007629395,15,0
1,1,5,18,0
1,3,5,21,0
1,4,5.05999994277954,20.5,0
1,4,5.05000019073486,20.5,0
1,4,5,17.5,0
1,1,5,27.5,0
1,1,5,24,0
1,1,5.25,34,0
1,1,5,18,0
1,1,5,24,0
1,3,5.05000019073486,,0
1,4,5,33.5,0
1,4,5.75,12,0
1,1,5,35,0
1,1,4.5,35,0
1,1,4.75,16,0
1,2,4.25,15.5,0
1,3,4.75,19,0
1,3,4.5,24,0
1,4,4.80000019073486,,0
1,1,4.36999988555908,36,0
1,1,4.25,29,0
1,1,4.25,29,0
1,1,4.36999988555908,21.25,0
1,2,4.5,15.5,0
1,3,4.59999990463257,19.5,0
1,3,4.5,21,0
1,3,4.36999988555908,14,0
1,3,4.25,30.5,0
1,1,4.25,23.5,0
1,2,4.44999980926514,14,0
1,3,4.34999990463257,14.5,0
1,1,4.5,15.5,0
1,1,4.75,26.5,0
1,2,4.5,8,0
1,2,4.5,5.5,0
1,3,4.5,23.25,0
1,3,4.94999980926514,15.5,0
1,4,4.5,32.25,0
1,1,4.25,30,0
1,1,4.25,,0
1,1,4.5,30.5,0
1,1,4.80000019073486,14,0
1,1,4.25,27,0
1,1,4.5,18.5,0
1,1,4.25,38,0
1,1,4.25,16.5,0
1,1,4.5,50,0
1,1,4.75,20.5,0
1,2,4.25,6.5,0
1,2,4.25,13.5,0
1,3,4.25,28,0
1,3,4.5,21.5,0
1,4,4.25,,0
1,1,4.5,24,0
1,1,4.25,20.5,0
1,1,4.5,,0
1,1,4.25,23.5,0
1,1,4.25,23,0
1,1,4.25,17,0
1,1,4.25,20.5,0
1,2,4.25,23.5,0
1,2,4.25,9.5,0
1,2,4.25,10,0
1,2,4.25,14,0
1,3,4.75,85,0
1,3,4.75,15,0
1,3,4.40000009536743,21.5,0
1,4,4.61999988555908,53,0
1,1,4.25,24,0
1,1,4.25,20.5,0
1,1,4.25,14.5,0
1,1,4.25,25,0
1,3,4.25,27,0
1,1,4.75,22.5,0
1,1,4.75,36.5,0
1,1,4.25,17.25,0
1,1,4.25,21.5,0
1,1,4.75,24.5,0
1,1,4.5,19,0
1,1,4.25,25,0
1,1,4.25,16,0
1,2,4.5,19,0
1,3,4.5,22.75,0
1,3,4.5,35,0
1,3,4.75,16,0
1,3,4.61999988555908,21,0
1,3,4.25,26.75,0
1,3,4.25,30.5,0
1,4,4.5,23,0
1,4,4.75,21.5,0
1,4,4.25,36.5,0
1,1,4.80000019073486,23,0
1,1,4.5,14,0
1,1,4.67000007629395,17.25,0
1,1,4.86999988555908,18.5,0
1,2,4.5,8.5,0
1,2,4.5,14,0
1,3,4.75,23,0
1,4,4.75,29,0
1,1,4.25,19,0
1,1,4.25,21,0
1,1,4.75,17,0
1,1,4.84999990463257,36,0
1,1,4.75,25,0
1,1,4.61999988555908,29.5,0
1,2,4.25,22,0
1,2,4.25,11,0
1,2,4.5,13.5,0
1,2,4.5,13.5,0
1,2,4.61999988555908,18,0
1,2,4.5,9.5,0
1,3,4.75,24,0
1,3,4.75,14.5,0
1,4,4.86999988555908,29,0
1,4,4.5,10.5,0
1,4,4.25,18,0
1,1,4.25,,0
1,2,4.34999990463257,9,0
1,1,4.25,33,0
1,1,4.5,19.5,0
1,1,4.25,41,0
1,1,4.25,17,0
1,1,4.25,18.25,0
1,2,4.75,17,0
1,3,4.61999988555908,32,0
1,3,4.25,26,0
1,4,4.5,11.5,0
1,1,4.5,21,0
1,1,4.5,22.75,0
1,1,4.55000019073486,18.5,0
1,1,4.61999988555908,20,0
1,1,4.5,18,0
1,2,4.25,10.5,0
1,2,4.25,10.5,0
1,2,4.34999990463257,11,0
1,2,4.25,10.5,0
1,2,4.25,12.5,0
1,2,4.59999990463257,18,0
1,3,4.25,17,0
1,3,4.75,15,0
1,3,4.75,19.5,0
1,4,4.25,13,0
1,4,4.5,20.25,0
1,1,4.5,26,0
1,1,4.25,15.5,0
1,1,4.75,24,0
1,1,4.65000009536743,25.5,0
1,1,4.25,14.5,0
1,1,4.25,21.5,0
1,2,4.75,14,0
1,2,4.25,20,0
1,3,4.5,22.5,0
1,3,4.25,30,0
1,4,4.5,24,0
1,4,4.75,22,0
1,1,4.36999988555908,13,0
1,2,4.5,5,0
1,3,4.86999988555908,13.5,0
1,1,4.25,28,0
1,1,4.25,18,0
1,1,4.25,24,0
1,1,4.25,16.5,0
1,1,4.25,7,0
1,1,4.25,11,0
1,1,4.25,19.5,0
1,2,4.44999980926514,10,0
1,2,4.61999988555908,13,0
1,2,4.25,10,0
1,2,4.25,12.5,0
1,2,4.25,8,0
1,3,4.25,12,0
1,3,4.5,20.5,0
1,3,4.75,18.5,0
1,3,4.75,11.5,0
1,3,4.5,15,0
1,3,4.75,13,0
1,3,4.25,10,0
1,4,4.75,17,0
1,4,4.55000019073486,17,0
1,4,4.80000019073486,20.5,0
1,1,4.75,15.5,0
1,1,4.25,19.5,0
1,3,4.34999990463257,30.5,0
1,3,4.5,23,0
1,3,4.3899998664856,13,0
1,3,4.25,30.25,0
1,4,4.25,18,0
1,1,4.25,10,0
1,1,4.5,19.5,0
1,1,4.61999988555908,17,0
1,1,4.61999988555908,25.5,0
1,1,4.25,6,0
1,2,4.75,11.5,0
1,2,4.61999988555908,8.5,0
1,3,4.75,18.5,0
1,3,4.5,15.5,0
1,1,4.25,14.25,0
1,1,4.5,38,0
1,1,4.86999988555908,24.75,0
1,1,4.25,23,0
1,1,4.25,24,0
1,2,4.61999988555908,7.5,0
1,2,4.75,15,0
1,2,4.25,9.25,0
1,3,4.25,11.25,0
1,3,4.75,16.5,0
1,3,4.25,18.75,0
1,3,4.75,13.5,0
1,3,4.36999988555908,21.75,0
1,4,4.86999988555908,13.5,0
1,1,4.25,15,0
1,1,4.25,17.5,0
1,1,4.25,17.5,0
1,2,4.25,,0
1,2,4.25,15.5,0
1,2,4.25,16.5,0
1,3,4.5,13.5,0
1,4,4.25,13,0
1,1,4.34999990463257,11.5,0
1,1,4.84999990463257,29.0499992370606,0
1,1,4.5,13,0
1,1,4.25,18,0
1,1,4.61999988555908,30,0
1,1,4.5,20.5,0
1,1,4.5,10,0
1,1,4.65000009536743,,0
1,1,4.25,26,0
1,1,4.25,12.5,0
1,2,4.25,19.5,0
1,2,4.61999988555908,12,0
1,3,4.86999988555908,36,0
1,3,4.25,21,0
1,3,4.75,24.5,0
1,3,4.86999988555908,20,0
1,3,4.5,26.5,0
1,3,4.25,15,0
1,3,4.75,19,0
1,3,4.32000017166138,17.5,0
1,1,4.25,20.5,0
1,1,4.5,21,0
1,2,4.5,10.5,0
1,1,4.25,23,0
1,1,4.25,23,0
1,1,4.25,29,0
1,1,4.25,21,0
1,1,4.25,41.5,0
1,2,4.25,12,0
1,2,4.61999988555908,33,0
1,2,4.75,6.5,0
1,2,4.94999980926514,9,0
1,2,4.75,9.75,0
1,3,4.25,24.5,0
1,4,4.75,14,0
1,4,4.61999988555908,19.5,0
2,1,4.30000019073486,24,1
2,2,4.44999980926514,11.5,1
2,2,5,10.5,1
2,4,5.25,20,1
2,4,4.75,35.5,1
2,4,,,1
2,1,4.75,29,1
2,1,5,36.5,1
2,2,5,11,1
2,2,5,8.5,1
2,3,4.75,17.5,1
2,1,5,29,1
2,1,4.5,30.5,1
2,1,4.75,26,1
2,1,4.5,18,1
2,2,5,20,1
2,2,4.75,13.5,1
2,3,4.75,19,1
2,3,4.75,15.5,1
2,3,4.25,14.5,1
2,3,5,14,1
2,3,4.90000009536743,19,1
2,3,5,21,1
2,3,4.75,18,1
2,4,5,20.5,1
2,3,4.25,13.5,1
2,3,4.75,17.5,1
2,1,4.25,25.5,1
2,1,,15.5,1
2,1,4.25,25.5,1
2,1,4.25,27,1
2,1,4.25,16,1
2,1,4.25,19,1
2,1,4.25,24.5,1
2,1,4.38000011444092,25,1
2,2,4.75,17,1
2,2,4.25,16.5,1
2,4,4.5,20,1
2,4,4.5,18,1
2,4,4.25,12,1
2,4,4.25,25,1
2,2,4.25,11,1
2,1,4.25,27,1
2,1,5.05000019073486,34,1
2,1,,25,1
2,1,4.25,37.5,1
2,1,4.25,21,1
2,2,4.25,9.5,1
2,4,,18,1
2,4,4.25,18,1
2,4,4.34999990463257,19,1
2,4,4.5,31.5,1
2,1,5,23,1
2,1,4.5,24.5,1
2,1,5,27.5,1
2,1,4.75,34.5,1
2,2,5,14,1
2,3,4.34999990463257,15,1
2,4,,23,1
2,1,4.25,26.5,1
2,1,4.90000009536743,23.5,1
2,1,4.5,35.5,1
2,1,4.5,21,1
2,1,4.75,23,1
2,1,6.25,20,1
2,1,4.34999990463257,27,1
2,2,4.5,13,1
2,3,,0,1
2,3,4.5,13.5,1
2,4,,,1
2,4,5,26.75,1
2,1,4.75,43.5,1
2,1,4.5,41.25,1
2,3,,14.25,1
2,3,4.75,12.5,1
2,3,4.25,34,1
2,3,4.90999984741211,10,1
2,1,4.40000009536743,14,1
2,1,4.25,17.5,1
1,1,5.05000019073486,27,1
1,1,5.05000019073486,21.5,1
1,3,5.05000019073486,23,1
1,3,5.05000019073486,21.5,1
1,1,5.05000019073486,34.5,1
1,2,5.05000019073486,10.5,1
1,4,5.05000019073486,16.5,1
1,1,5.05000019073486,23,1
1,1,5.05000019073486,38,1
1,4,5.25,36,1
1,4,,16,1
1,1,5.05000019073486,20.5,1
1,3,5.05000019073486,19,1
1,4,5.05000019073486,53,1
1,1,5.05000019073486,16.5,1
1,1,5.05000019073486,16.5,1
1,1,5.05000019073486,45,1
1,3,5.05000019073486,8,1
1,2,5.05000019073486,15.5,1
1,1,5.05000019073486,24,1
1,2,5.05000019073486,7.5,1
1,2,5.05000019073486,7.5,1
1,2,5.05000019073486,18.5,1
1,3,5.05000019073486,16.5,1
1,4,5.05000019073486,33.5,1
1,3,5.05000019073486,37,1
1,3,5.05000019073486,18,1
1,4,5.05000019073486,26.5,1
1,4,5.05000019073486,33,1
1,4,5.05000019073486,,1
1,1,5.05000019073486,20.5,1
1,1,5.5,24.5,1
1,2,5.05000019073486,16,1
1,4,5.05000019073486,,1
1,4,5.05000019073486,23.5,1
1,2,5.05000019073486,13,1
1,3,5.05000019073486,20,1
1,3,5.05000019073486,22,1
1,4,5.5,28.5,1
1,4,,,1
1,4,5.05000019073486,25.5,1
1,1,5.28000020980835,18,1
1,1,5.25,9,1
1,1,5.05000019073486,26.5,1
1,1,,0,1
1,1,5.05000019073486,23.75,1
1,2,5.5,18,1
1,3,5.05000019073486,36,1
1,3,5.05000019073486,21,1
1,3,5.05000019073486,15.5,1
1,4,5.05000019073486,22.5,1
1,1,5.05000019073486,27,1
1,1,5.05000019073486,34,1
1,3,5.05000019073486,16.75,1
1,3,5.05000019073486,26,1
1,4,5.05000019073486,18,1
1,1,5.05000019073486,20.5,1
1,1,5.05000019073486,15,1
1,3,5.05000019073486,25.5,1
1,3,5.05000019073486,,1
1,3,5.05000019073486,20,1
1,3,5.05000019073486,18,1
1,1,5.05000019073486,26.5,1
1,1,5.05000019073486,23.25,1
1,2,5.05000019073486,10.5,1
1,2,5.25,12,1
1,2,5.05000019073486,9.5,1
1,2,5.05000019073486,15.5,1
1,1,5.05000019073486,14.5,1
1,2,5.05000019073486,14,1
1,2,5.05000019073486,6.5,1
1,2,5.05000019073486,10,1
1,2,5.05000019073486,11.5,1
1,3,5.05000019073486,46.5,1
1,3,5.05000019073486,26.5,1
1,4,5.67000007629395,16,1
1,1,5.05000019073486,13,1
1,3,5.05000019073486,14,1
1,4,5.05000019073486,15.5,1
1,4,5.05000019073486,18,1
1,4,5.25,27,1
1,1,5.25,27,1
1,1,5.05000019073486,29.5,1
1,1,5.5,16.5,1
1,1,5.05000019073486,31.5,1
1,1,5.05000019073486,27.5,1
1,3,5.05000019073486,25.5,1
1,4,5.5,32,1
1,4,5.5,14.5,1
1,1,5.05000019073486,10.5,1
1,1,5.05000019073486,44,1
1,1,5.25,15.5,1
1,2,5.05000019073486,10.5,1
1,3,5.05000019073486,24,1
1,3,5.15000009536743,29,1
1,4,5.05000019073486,30.5,1
1,1,5.05000019073486,20,1
1,1,5.05000019073486,26.5,1
1,1,5.05000019073486,27,1
1,1,5.05000019073486,26.5,1
1,2,5,10.5,1
1,3,5.05000019073486,18,1
1,3,5.05000019073486,18.5,1
1,3,5.05000019073486,25.5,1
1,3,5.05000019073486,32,1
1,1,5.05000019073486,33,1
1,2,5.05000019073486,7.5,1
1,3,5.05000019073486,12.5,1
1,1,5.05000019073486,24,1
1,1,5.05000019073486,29,1
1,2,,10,1
1,2,5.05000019073486,9.5,1
1,3,5.05000019073486,17.5,1
1,3,5.05000019073486,17.5,1
1,4,5.05000019073486,25,1
1,1,5.05000019073486,26,1
1,1,5.05000019073486,24,1
1,1,5.05000019073486,22.5,1
1,1,5.05000019073486,,1
1,1,5.05000019073486,35,1
1,1,5.05000019073486,17.75,1
1,1,5.05000019073486,24.5,1
1,1,5.05000019073486,16.5,1
1,1,5.05000019073486,30,1
1,1,5.05000019073486,39,1
1,2,5.05000019073486,17,1
1,2,5.05000019073486,12.5,1
1,3,5.05000019073486,38.5,1
1,3,5.05000019073486,20,1
1,4,5.05000019073486,21,1
1,1,5.05000019073486,32,1
1,1,5.05000019073486,19,1
1,1,5.05000019073486,20,1
1,1,5.05000019073486,26.5,1
1,1,5.05000019073486,19,1
1,1,5.05000019073486,20,1
1,1,5.05000019073486,22.5,1
1,2,5.05000019073486,10,1
1,2,5.05000019073486,12.5,1
1,2,5.05000019073486,11,1
1,2,5.05000019073486,12.5,1
1,3,5.05000019073486,59,1
1,3,5.05000019073486,19,1
1,3,5.05000019073486,15.5,1
1,4,5.05000019073486,19,1
1,1,5.05000019073486,26.5,1
1,1,5.05000019073486,17.5,1
1,1,5.05000019073486,20.5,1
1,1,5.05000019073486,28,1
1,3,5.05000019073486,30.25,1
1,1,5.25,44,1
1,1,5.05000019073486,17.5,1
1,1,5.05000019073486,31,1
1,1,5.05000019073486,31,1
1,1,5.05000019073486,28.5,1
1,1,5.05000019073486,19,1
1,1,5.05000019073486,41,1
1,1,5.05000019073486,28,1
1,2,5.05000019073486,9.5,1
1,3,5.05000019073486,25,1
1,3,5.5,28,1
1,3,5.05000019073486,16,1
1,3,5.05000019073486,22.75,1
1,3,,,1
1,3,5.05000019073486,32,1
1,4,5.67000007629395,27.5,1
1,4,5.05000019073486,25.5,1
1,4,5.05000019073486,60.5,1
1,1,5.05000019073486,20.5,1
1,1,5.05000019073486,16,1
1,1,5.75,25,1
1,1,5.05000019073486,13,1
1,2,5.05000019073486,9,1
1,2,5.25,16.5,1
1,3,5.05000019073486,21,1
1,4,5.05000019073486,21.5,1
1,1,5.25,20,1
1,1,5.05000019073486,21.25,1
1,1,5.05000019073486,21.5,1
1,1,5.05000019073486,31,1
1,1,5.05000019073486,33,1
1,1,5.05000019073486,37.75,1
1,2,5.05000019073486,9,1
1,2,5.05000019073486,11,1
1,2,5.05000019073486,12.75,1
1,2,5.05000019073486,10.5,1
1,2,5.05000019073486,22,1
1,2,5.05000019073486,8,1
1,3,5.05000019073486,25,1
1,3,5.05000019073486,12.5,1
1,4,5.25,22.5,1
1,4,5.05000019073486,11.5,1
1,4,5.05000019073486,23.5,1
1,1,5.05000019073486,30,1
1,2,5.05000019073486,16.5,1
1,1,5.05000019073486,29,1
1,1,5.05000019073486,30,1
1,1,5.05000019073486,22.5,1
1,1,5.05000019073486,24,1
1,1,5.05000019073486,21.75,1
1,2,5.19999980926514,13.5,1
1,3,5.05000019073486,24,1
1,3,5.05000019073486,28.5,1
1,4,5.05000019073486,10,1
1,1,5.05000019073486,23.5,1
1,1,5.05000019073486,30.5,1
1,1,5.05000019073486,24.75,1
1,1,5.05000019073486,22.5,1
1,1,5.05000019073486,28,1
1,2,5.05000019073486,14,1
1,2,5.05000019073486,9,1
1,2,5.05000019073486,9.5,1
1,2,5.05000019073486,15.5,1
1,2,5.05000019073486,12,1
1,2,5.05000019073486,11.5,1
1,3,5.05000019073486,12.5,1
1,3,5.05000019073486,16,1
1,3,5.05000019073486,28.5,1
1,4,5.30000019073486,15,1
1,4,5.05000019073486,23.5,1
1,1,5.5,30.5,1
1,1,5.05000019073486,26.5,1
1,1,5.05000019073486,27,1
1,1,5.05000019073486,21.5,1
1,1,5.05000019073486,,1
1,1,5.05000019073486,21.5,1
1,2,5.05000019073486,37.5,1
1,2,5.05000019073486,11.5,1
1,3,5.05000019073486,21,1
1,3,5.05000019073486,28,1
1,4,5.05000019073486,24,1
1,4,5.05000019073486,23,1
1,1,5.05000019073486,19,1
1,2,5.05000019073486,7,1
1,3,5.05000019073486,14,1
1,1,,,1
1,1,5.05000019073486,32,1
1,1,5.05000019073486,22,1
1,1,5.05000019073486,14.25,1
1,1,5.05000019073486,16.5,1
1,1,,0,1
1,1,5.05000019073486,47.5,1
1,2,5.05000019073486,15.5,1
1,2,5.05000019073486,10.5,1
1,2,5.05000019073486,7,1
1,2,5.05000019073486,11,1
1,2,5.05000019073486,8.5,1
1,3,,0,1
1,3,5.05000019073486,15,1
1,3,5.05000019073486,13.5,1
1,3,5.05000019073486,12.5,1
1,3,5.05000019073486,12.5,1
1,3,5.05000019073486,12.5,1
1,3,5.05000019073486,10,1
1,4,5.05000019073486,13.5,1
1,4,5.09999990463257,16,1
1,4,5.05000019073486,23.5,1
1,1,5.05000019073486,,1
1,1,5.05000019073486,34,1
1,3,5.05000019073486,32.5,1
1,3,5.05000019073486,21.5,1
1,3,5.05000019073486,20,1
1,3,5.19999980926514,43.5,1
1,4,5.05000019073486,17.5,1
1,1,5.05000019073486,7,1
1,1,5.05000019073486,,1
1,1,5.25,22,1
1,1,5.05000019073486,22,1
1,1,5.05000019073486,7,1
1,2,5.05000019073486,14,1
1,2,5.05000019073486,27,1
1,3,5.05000019073486,18.5,1
1,3,5.05000019073486,11.5,1
1,1,5.05000019073486,16,1
1,1,5.05000019073486,25,1
1,1,5.05000019073486,30.5,1
1,1,5.05000019073486,11.5,1
1,1,5.05000019073486,25.5,1
1,2,5.05000019073486,9.5,1
1,2,5.05000019073486,11.5,1
1,2,,12,1
1,3,,0,1
1,3,5.05000019073486,17,1
1,3,5.05000019073486,24,1
1,3,,,1
1,3,5.05000019073486,,1
1,4,,13.5,1
1,1,5.05000019073486,17,1
1,1,5.05000019073486,28,1
1,1,5.05000019073486,21.5,1
1,2,5.05000019073486,30,1
1,2,5.19999980926514,19.5,1
1,2,5.05000019073486,20,1
1,3,5.05000019073486,14.5,1
1,4,5.05000019073486,14.5,1
1,1,,0,1
1,1,5.05000019073486,31.5,1
1,1,5.05000019073486,11.5,1
1,1,5.05000019073486,20,1
1,1,5.05000019073486,34,1
1,1,5.05000019073486,25,1
1,1,5.05000019073486,10,1
1,1,5.05000019073486,18,1
1,1,5.05000019073486,25,1
1,1,5.05000019073486,23,1
1,2,5.05000019073486,17.5,1
1,2,5.25,23,1
1,3,5.40000009536743,26,1
1,3,5.05000019073486,16.5,1
1,3,5.05000019073486,35.5,1
1,3,5.05000019073486,31,1
1,3,5.05000019073486,23,1
1,3,5.05000019073486,22.5,1
1,3,5.05000019073486,21.5,1
1,3,5.05000019073486,12,1
1,1,5.05000019073486,20.5,1
1,1,5.05000019073486,25,1
1,2,5.05000019073486,8.5,1
1,1,5.05000019073486,13,1
1,1,5.05000019073486,21.5,1
1,1,5.05000019073486,23,1
1,1,5.05000019073486,25.5,1
1,1,5.05000019073486,21.5,1
1,2,5.05000019073486,9.5,1
1,2,5.05000019073486,36.5,1
1,2,5.05000019073486,16,1
1,2,5.25,23.75,1
1,2,5.25,17.5,1
1,3,5.05000019073486,20.5,1
1,4,5.05000019073486,20.5,1
1,4,5.1399998664856,25,1
